Service Item Type ID,StagingRef__c,Name,ServiceCompanyStagingRef__c,ServiceItemFamilyStagingRef__c,DivisionStagingRef__c,DeviceSizeStagingRef__c,BandTypeStagingRef__c,GroupTypeStagingRef__c,Apt_UK__BillDescription__c,Apt_UK__StartDate__c,Apt_UK__EndDate__c,Apt_UK__EligibleforanAgreedRate__c,Apt_UK__AvailableToSelectInWizard__c,ChargeType__c,NumberOfOccupants__c,ServiceItemTypeCategory__c,SurfaceWaterDrainage__c,AssessedCharge__c
SI0075,SI0075,SWW HH Meas Sew Fixed SWD - 40mm - Single,SWW,SIF015,SW01,40mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0076,SI0076,SWW HH Meas Sew Fixed SWD - 65mm - Single,SWW,SIF015,SW01,65mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0077,SI0077,SWW HH Meas Sew Fixed SWD - 80mm - Single,SWW,SIF015,SW01,80mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0078,SI0078,SWW HH Meas Sew Fixed SWD - 100mm - Single,SWW,SIF015,SW01,100mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0079,SI0079,SWW HH Meas Sew Fixed SWD - 150mm - Single,SWW,SIF015,SW01,150mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0080,SI0080,SWW HH Meas Wat Fixed - 15mm - Dual,SWW,SIF030,SW01,15mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0081,SI0081,SWW HH Meas Wat Fixed - 22mm - Dual,SWW,SIF030,SW01,22mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0082,SI0082,SWW HH Meas Wat Fixed - 25mm - Dual,SWW,SIF030,SW01,25mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0083,SI0083,SWW HH Meas Wat Fixed - 40mm - Dual,SWW,SIF030,SW01,40mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0084,SI0084,SWW HH Meas Wat Fixed - 65mm - Dual,SWW,SIF030,SW01,65mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0085,SI0085,SWW HH Meas Wat Fixed - 80mm - Dual,SWW,SIF030,SW01,80mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0086,SI0086,SWW HH Meas Wat Fixed - 100mm - Dual,SWW,SIF030,SW01,100mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0087,SI0087,SWW HH Meas Wat Fixed - 150mm - Dual,SWW,SIF030,SW01,150mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0088,SI0088,SWW HH Meas Wat Fixed - 15mm - Single,SWW,SIF031,SW01,15mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0089,SI0089,SWW HH Meas Wat Fixed - 22mm - Single,SWW,SIF031,SW01,22mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0090,SI0090,SWW HH Meas Wat Fixed - 25mm - Single,SWW,SIF031,SW01,25mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0091,SI0091,SWW HH Meas Wat Fixed - 40mm - Single,SWW,SIF031,SW01,40mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0092,SI0092,SWW HH Meas Wat Fixed - 65mm - Single,SWW,SIF031,SW01,65mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0093,SI0093,SWW HH Meas Wat Fixed - 80mm - Single,SWW,SIF031,SW01,80mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0094,SI0094,SWW HH Meas Wat Fixed - 100mm - Single,SWW,SIF031,SW01,100mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0095,SI0095,SWW HH Meas Wat Fixed - 150mm - Single,SWW,SIF031,SW01,150mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0096,SI0096,SWW HH Meas Wat Fixed - Garden Meter - Single,SWW,SIF031,SW01,,,,Standing Charge,2017/04/01,,No,1,,,,,
SI0099,SI0099,SWW HH Meas Sew Volume NSW - Vol Charge,SWW,SIF020,SW01,,,,Sewerage 2,2017/04/01,,No,1,,,,,
SI0100,SI0100,SWW HH Meas Sew Volume SWD - Vol Charge,SWW,SIF021,SW01,,,,Sewerage 1,2017/04/01,,No,1,,,,,
SI0101,SI0101,SWW HH Meas Wat Volume - Pre Occupation,SWW,SIF034,SW01,,,,PreOccupation,2017/04/01,,No,1,,,,,
SI0102,SI0102,SWW HH Meas Wat Volume - Seasonal Diff 3,SWW,SIF034,SW01,,,,Water,2024/04/01,,No,1,,,,,
SI0103,SI0103,SWW HH Meas Wat Volume - Seasonal Peak,SWW,SIF034,SW01,,,,Water,2024/04/01,,No,1,,,,,
SI0104,SI0104,SWW HH Meas Wat Volume - Smart Saver RBT,SWW,SIF034,SW01,,,,Smart Saver,2024/04/01,,No,1,,,,,
SI0105,SI0105,SWW HH Meas Wat Volume - Vol Charge,SWW,SIF034,SW01,,,,Water,2017/04/01,,No,1,,,,,
SI0106,SI0106,SWW HH Unm Sew Assessed Fixed NSW - 1 Occ - Dual,SWW,SIF038,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0107,SI0107,SWW HH Unm Sew Assessed Fixed NSW - 2 Occ - Dual,SWW,SIF038,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0108,SI0108,SWW HH Unm Sew Assessed Fixed NSW - Multi Occ - Dual,SWW,SIF038,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0109,SI0109,SWW HH Unm Sew Assessed Fixed NSW - 1 Occ - Single,SWW,SIF039,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0110,SI0110,SWW HH Unm Sew Assessed Fixed NSW - 2 Occ - Single,SWW,SIF039,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0111,SI0111,SWW HH Unm Sew Assessed Fixed NSW - Multi Occ - Single,SWW,SIF039,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0112,SI0112,SWW HH Unm Sew Assessed Fixed SWD - 1 Occ - Dual,SWW,SIF040,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0113,SI0113,SWW HH Unm Sew Assessed Fixed SWD - 2 Occ - Dual,SWW,SIF040,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0114,SI0114,SWW HH Unm Sew Assessed Fixed SWD - Multi Occ - Dual,SWW,SIF040,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0115,SI0115,SWW HH Unm Sew Assessed Fixed SWD - 1 Occ - Single,SWW,SIF041,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0116,SI0116,SWW HH Unm Sew Assessed Fixed SWD - 2 Occ - Single,SWW,SIF041,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0117,SI0117,SWW HH Unm Sew Assessed Fixed SWD - Multi Occ - Single,SWW,SIF041,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0118,SI0118,SWW HH Unm Wat Assessed Fixed - 1 Occ - Dual,SWW,SIF056,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0119,SI0119,SWW HH Unm Wat Assessed Fixed - 2 Occ - Dual,SWW,SIF056,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0120,SI0120,SWW HH Unm Wat Assessed Fixed - Multi Occ - Dual,SWW,SIF056,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0121,SI0121,SWW HH Unm Wat Assessed Fixed - 1 Occ - Single,SWW,SIF057,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0122,SI0122,SWW HH Unm Wat Assessed Fixed - 2 Occ - Single,SWW,SIF057,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0123,SI0123,SWW HH Unm Wat Assessed Fixed - Multi Occ - Single,SWW,SIF057,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0124,SI0124,SWW HH Unm Sew Assessed Volume NSW - 1 Occ,SWW,SIF042,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0125,SI0125,SWW HH Unm Sew Assessed Volume NSW - 2 Occ,SWW,SIF042,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0126,SI0126,SWW HH Unm Sew Assessed Volume NSW - Multi Occ,SWW,SIF042,SW01,,,,Assessed Sewerage 2,2017/04/01,,No,1,,,,,
SI0127,SI0127,SWW HH Unm Sew Assessed Volume SWD - 1 Occ,SWW,SIF043,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0128,SI0128,SWW HH Unm Sew Assessed Volume SWD - 2 Occ,SWW,SIF043,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0129,SI0129,SWW HH Unm Sew Assessed Volume SWD - Multi Occ,SWW,SIF043,SW01,,,,Assessed Sewerage 1,2017/04/01,,No,1,,,,,
SI0130,SI0130,SWW HH Unm Wat Assessed Volume - 1 Occ,SWW,SIF058,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0131,SI0131,SWW HH Unm Wat Assessed Volume - 2 Occ,SWW,SIF058,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0132,SI0132,SWW HH Unm Wat Assessed Volume - Multi Occ,SWW,SIF058,SW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0133,SI0133,SWW HH Unm Sew Assist - Band 1,SWW,SIF044,SW01,,,,SWW Assist Sewerage Band 1,2024/04/01,,No,1,,,,,
SI0134,SI0134,SWW HH Unm Sew Assist - Band 2,SWW,SIF044,SW01,,,,SWW Assist Sewerage Band 2,2024/04/01,,No,1,,,,,
SI0135,SI0135,SWW HH Unm Sew Assist - Band 3,SWW,SIF044,SW01,,,,SWW Assist Sewerage Band 3,2024/04/01,,No,1,,,,,
SI0136,SI0136,SWW HH Unm Sew Assist - Band 4,SWW,SIF044,SW01,,,,SWW Assist Sewerage Band 4,2024/04/01,,No,1,,,,,
SI0137,SI0137,SWW HH Unm Sew Assist - Band 5,SWW,SIF044,SW01,,,,SWW Assist Sewerage Band 5,2024/04/01,,No,1,,,,,
SI0138,SI0138,SWW HH Unm Sew Assist - Band 6,SWW,SIF044,SW01,,,,SWW Assist Sewerage Band 6,2024/04/01,,No,1,,,,,
SI0139,SI0139,SWW HH Unm Wat Assist - Band 1,SWW,SIF059,SW01,,,,SWW Assist Water Band 1,2024/04/01,,No,1,,,,,
SI0140,SI0140,SWW HH Unm Wat Assist - Band 2,SWW,SIF059,SW01,,,,SWW Assist Water Band 2,2024/04/01,,No,1,,,,,
SI0141,SI0141,SWW HH Unm Wat Assist - Band 3,SWW,SIF059,SW01,,,,SWW Assist Water Band 3,2024/04/01,,No,1,,,,,
SI0142,SI0142,SWW HH Unm Wat Assist - Band 4,SWW,SIF059,SW01,,,,SWW Assist Water Band 4,2024/04/01,,No,1,,,,,
SI0143,SI0143,SWW HH Unm Wat Assist - Band 5,SWW,SIF059,SW01,,,,SWW Assist Water Band 5,2024/04/01,,No,1,,,,,
SI0144,SI0144,SWW HH Unm Wat Assist - Band 6,SWW,SIF059,SW01,,,,SWW Assist Water Band 6,2024/04/01,,No,1,,,,,
SI0145,SI0145,SWW HH Unm Sew Fixed NSW - Over 50RV - Dual,SWW,SIF045,SW01,,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0148,SI0148,SWW HH Unm Sew Fixed NSW - Up to 50RV - Dual,SWW,SIF045,SW01,,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0149,SI0149,SWW HH Unm Sew Fixed NSW - Over 50RV - Single,SWW,SIF046,SW01,,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0152,SI0152,SWW HH Unm Sew Fixed NSW - Up to 50RV - Single,SWW,SIF046,SW01,,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0153,SI0153,SWW HH Unm Sew Fixed SWD - Hosp & Decd - Dual,SWW,SIF047,SW01,,,,Sewerage Fixed Charge,2017/04/01,,No,1,,,,,
SI0154,SI0154,SWW HH Unm Sew Fixed SWD - Over 50RV - Dual,SWW,SIF047,SW01,,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0157,SI0157,SWW HH Unm Sew Fixed SWD - Up to 50RV - Dual,SWW,SIF047,SW01,,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0158,SI0158,SWW HH Unm Sew Fixed SWD - Hosp & Decd - Single,SWW,SIF048,SW01,,,,Sewerage Fixed Charge,2017/04/01,,No,1,,,,,
SI0159,SI0159,SWW HH Unm Sew Fixed SWD - Over 50RV - Single,SWW,SIF048,SW01,,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0162,SI0162,SWW HH Unm Sew Fixed SWD - Surface Water Only - Single,SWW,SIF048,SW01,,,,Surface Water Only,2017/04/01,,No,1,,,,,
SI0163,SI0163,SWW HH Unm Sew Fixed SWD - Up to 50RV - Single,SWW,SIF048,SW01,,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0164,SI0164,SWW HH Unm Wat Fixed - Fixed Charge - Dual,SWW,SIF060,SW01,,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0165,SI0165,SWW HH Unm Wat Fixed - Hosp & Decd - Dual,SWW,SIF060,SW01,,,,Water Fixed Charge,2017/04/01,,No,1,,,,,
SI0167,SI0167,SWW HH Unm Wat Fixed - Fixed Charge - Single,SWW,SIF061,SW01,,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0168,SI0168,SWW HH Unm Wat Fixed - Hosp & Decd - Single,SWW,SIF061,SW01,,,,Water Fixed Charge,2017/04/01,,No,1,,,,,
SI0171,SI0171,SWW HH Unm Sew Variable NSW - RV Charge,SWW,SIF049,SW01,,,,Sewerage 2,2017/04/01,,No,1,,,,,
SI0173,SI0173,SWW HH Unm Sew Variable SWD - RV Charge,SWW,SIF050,SW01,,,,Sewerage 1,2017/04/01,,No,1,,,,,
SI0175,SI0175,SWW HH Unm Wat Variable - RV Charge,SWW,SIF062,SW01,,,,Water,2017/04/01,,No,1,,,,,
SI0176,SI0176,SWW HH Unm Sew WaterSure - Annual Charge,SWW,SIF055,SW01,,,,Sewerage Fixed Charge,2017/04/01,,No,1,,,,,
SI0177,SI0177,SWW HH Unm Wat WaterSure - Annual Charge,SWW,SIF065,SW01,,,,Water Fixed Charge,2017/04/01,,No,1,,,,,
SI0178,SI0178,IOS NH Meas Sew Fixed NSW - 15mm - Dual,IOS,SIF066,IS01,15mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0179,SI0179,IOS NH Meas Sew Fixed NSW - 22mm - Dual,IOS,SIF066,IS01,22mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0180,SI0180,IOS NH Meas Sew Fixed NSW - 25mm - Dual,IOS,SIF066,IS01,25mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0181,SI0181,IOS NH Meas Sew Fixed NSW - 40mm - Dual,IOS,SIF066,IS01,40mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0182,SI0182,IOS NH Meas Sew Fixed NSW - 65mm - Dual,IOS,SIF066,IS01,65mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0183,SI0183,IOS NH Meas Sew Fixed NSW - 80mm - Dual,IOS,SIF066,IS01,80mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0184,SI0184,IOS NH Meas Sew Fixed NSW - 100mm - Dual,IOS,SIF066,IS01,100mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
